"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000000003",0.554729964558891,6.18335340903109,85.2749251832823,3.46171061175327e-19,"NO"
"ENSG00000000005",3.39405865145813,-0.781683247026042,310.890100751005,2.45178681255011e-57,"UP"
"ENSG00000000419",0.412187329783794,4.54156107019302,159.299941438502,7.02629102871049e-33,"NO"
"ENSG00000000457",-0.0760534390980327,3.51057775094586,7.97454897994611,0.00488654817152551,"NO"
"ENSG00000000460",0.468423084001416,2.44738404991658,73.9861105275032,5.67786936121742e-17,"NO"
"ENSG00000000938",0.857322314513823,3.41772566314715,126.313593120363,6.03949967510595e-27,"NO"
"ENSG00000000971",2.07794633540836,4.54999922781401,329.958837331866,3.89284218238764e-60,"UP"
"ENSG00000001036",1.34171648371244,4.57141098272617,376.700566655006,8.93156874825009e-67,"UP"
"ENSG00000001084",-1.01361277035881,6.14699227382512,282.658013981705,4.33008925758644e-53,"DOWN"
"ENSG00000001167",-0.198470754185907,4.82299565870516,30.3644500101015,5.13071345048132e-08,"NO"
"ENSG00000001460",0.992867765211361,2.83595333416558,69.8329514325883,3.79253676116749e-16,"NO"
"ENSG00000001461",0.0296274022050686,6.0426711039244,0.0878577396670856,0.767011403065725,"NO"
"ENSG00000001497",-0.294018194245912,5.91239373217914,47.496444028589,1.28545926381219e-11,"NO"
"ENSG00000001561",-0.516965604974197,5.26581183551756,38.0330952398507,1.20997030884744e-09,"NO"
"ENSG00000001617",2.08923563995585,2.979690709768,346.879212005919,1.41744511825807e-62,"UP"
"ENSG00000001626",-0.929999816284286,1.83828921406798,59.4954683318702,4.51484895903849e-14,"NO"
"ENSG00000001629",0.0368523012091173,7.1947647447553,0.408222321357994,0.523094046611132,"NO"
"ENSG00000001630",0.229545275265985,2.03487783153283,6.77229309759777,0.0094654360447112,"NO"
"ENSG00000001631",0.49447869589091,3.09803562270434,75.4199751336504,2.9562350050474e-17,"NO"
"ENSG00000002016",-0.39203347123058,3.9818811762077,50.13809982215,3.66684461069861e-12,"NO"
"ENSG00000002330",0.180502019902619,3.96072501140192,10.2328033406946,0.00144542585486726,"NO"
"ENSG00000002549",0.777492959462277,6.93970869794509,190.172676660108,3.25005768163757e-38,"NO"
"ENSG00000002586",0.509171464411333,8.78367019033139,24.1619268801606,1.11783143932652e-06,"NO"
"ENSG00000002587",-0.46201112927584,4.38294239904042,19.4530377368423,1.20309790483914e-05,"NO"
"ENSG00000002726",1.20963338042493,-2.54475745792276,77.9593518181874,9.33826152994043e-18,"UP"
"ENSG00000002745",3.85992979180003,0.503491007642677,387.678073981848,2.73288657488992e-68,"UP"
"ENSG00000002746",-1.74814247528172,3.91476900127114,157.410368526778,1.51661939149483e-32,"DOWN"
"ENSG00000002822",1.04959140978631,-1.44624446838215,123.666629984127,1.85457326247071e-26,"UP"
"ENSG00000002834",-0.0874317625093924,7.45476694409331,5.41328872609092,0.0202847089552143,"NO"
"ENSG00000002919",0.258134865646417,5.03265235438194,44.3564541714141,5.75434933074712e-11,"NO"
"ENSG00000002933",1.82342835475441,5.26310070925857,242.309306390301,8.64048509184176e-47,"UP"
"ENSG00000003056",0.119897909418853,5.70585971216492,6.43522591168969,0.0114162775358989,"NO"
"ENSG00000003096",-0.359017706874319,4.67733514149806,27.5406578273165,2.07375315029693e-07,"NO"
