"","GBMvsASTRO","GBMvsOLIGO","ASTROvsOLIGO","GBM","LGG"
"ENSG00000124140","DOWN","DOWN","NO",0.405416259987004,0.0788390029117959
"ENSG00000149927","NO","DOWN","NO",0.910060321662737,0.700603892356672
"ENSG00000125814","DOWN","DOWN","NO",0.716162153367698,0.340225359553215
"ENSG00000144550","DOWN","DOWN","NO",0.123128547076265,0.792073115508217
"ENSG00000172782","DOWN","DOWN","NO",0.337342817162635,0.173269630270729
"ENSG00000163995","NO","NO","NO",0.26205344542227,0.0336222792097401
"ENSG00000174514","DOWN","DOWN","NO",0.0812241165510472,0.113380625391691
"ENSG00000004660","NO","NO","NO",0.282287769686559,0.817274800551301
"ENSG00000196972","DOWN","DOWN","NO",0.523347722494658,0.133517549882673
"ENSG00000145990","NO","DOWN","NO",0.209584573920784,0.74050313567113
"ENSG00000107954","DOWN","DOWN","NO",0.806193523995162,0.36838633781537
"ENSG00000122733","DOWN","DOWN","NO",0.355715152583744,0.225377000460757
"ENSG00000198626","DOWN","DOWN","NO",0.386755097552238,0.603313902612384
"ENSG00000073670","DOWN","DOWN","NO",0.974161437700841,0.682453248290971
"ENSG00000167281","DOWN","DOWN","NO",0.808856762119519,0.101976385098806
"ENSG00000070808","DOWN","DOWN","NO",0.0733419065993862,0.275661097296201
"ENSG00000132639","DOWN","DOWN","NO",0.270096681879743,0.192970715549911
"ENSG00000166448","DOWN","DOWN","NO",0.722669329317015,0.0985422940863635
"ENSG00000168830","DOWN","DOWN","NO",0.479047653829194,0.249836042696638
"ENSG00000160396","DOWN","DOWN","NO",0.405288870846649,0.370717667708294
"ENSG00000130540","DOWN","DOWN","NO",0.642311519587994,0.258133184802078
"ENSG00000186732","DOWN","DOWN","NO",0.71992571485318,0.336407419811099
"ENSG00000158856","NO","NO","NO",0.628200890302832,0.531709914702724
"ENSG00000168490","DOWN","DOWN","NO",0.0323516786904744,0.6285412424978
"ENSG00000184368","DOWN","DOWN","NO",0.447749217521596,0.659817216267563
"ENSG00000020129","NO","NO","NO",0.304057943234326,0.450809772723619
"ENSG00000153933","NO","DOWN","NO",0.199261645790468,0.19403180933592
"ENSG00000124507","DOWN","DOWN","NO",0.737533515209325,0.236207658703921
"ENSG00000106089","NO","NO","NO",0.286717955114138,0.242097493659423
"ENSG00000186377","NO","DOWN","NO",0.996146467107488,0.0840900354816324
