"","P_Value"
"ENSG00000269190",0.415834777376821
"ENSG00000106538",0.108607675283001
"ENSG00000109944",0.180272001899313
"ENSG00000234465",0.540092939393123
"ENSG00000161798",0.308619514645081
"ENSG00000173040",0.133198461656851
"ENSG00000158156",0.248327086348812
"ENSG00000141198",0.504658637973406
"ENSG00000172638",0.117185416379753
"ENSG00000114115",0.402393312365677
"ENSG00000169515",0.921259867751893
"ENSG00000164687",0.00423957662581255
"ENSG00000125845",0.290559338363104
"ENSG00000165118",0.975063293607603
"ENSG00000104611",0.630754350929542
"ENSG00000044090",0.551582324734992
"ENSG00000196503",0.49299370088653
"ENSG00000154240",0.434046428137267
"ENSG00000255150",0.431960541541088
"ENSG00000109113",0.294896762552556
"ENSG00000100228",0.732061772008811
"ENSG00000142227",0.0762324509870804
"ENSG00000138771",0.00515122097659987
"ENSG00000215845",0.679462518935022
"ENSG00000119431",0.595455466808817
"ENSG00000164309",0.0634098012546594
"ENSG00000168140",0.230418674124088
"ENSG00000164327",0.129326034186777
"ENSG00000012211",0.912308828122467
"ENSG00000165406",0.55309996889739
"ENSG00000124140",0.405416259987004
"ENSG00000149927",0.910060321662737
"ENSG00000125814",0.716162153367698
"ENSG00000144550",0.123128547076265
"ENSG00000172782",0.337342817162635
"ENSG00000163995",0.26205344542227
"ENSG00000174514",0.0812241165510472
"ENSG00000004660",0.282287769686559
"ENSG00000196972",0.523347722494658
"ENSG00000145990",0.209584573920784
"ENSG00000107954",0.806193523995162
"ENSG00000122733",0.355715152583744
"ENSG00000198626",0.386755097552238
"ENSG00000073670",0.974161437700841
"ENSG00000167281",0.808856762119519
"ENSG00000070808",0.0733419065993862
"ENSG00000132639",0.270096681879743
"ENSG00000166448",0.722669329317015
"ENSG00000168830",0.479047653829194
"ENSG00000160396",0.405288870846649
"ENSG00000130540",0.642311519587994
"ENSG00000186732",0.71992571485318
"ENSG00000158856",0.628200890302832
"ENSG00000168490",0.0323516786904744
"ENSG00000184368",0.447749217521596
"ENSG00000020129",0.304057943234326
"ENSG00000153933",0.199261645790468
"ENSG00000124507",0.737533515209325
"ENSG00000106089",0.286717955114138
"ENSG00000186377",0.996146467107488
"ENSG00000162711",0.6420831125085
"ENSG00000174004",0.75480584079581
"ENSG00000120594",0.958480875699679
"ENSG00000182578",0.531170981238471
"ENSG00000123095",0.669125531870912
"ENSG00000087253",0.791651598486097
"ENSG00000142583",0.0599251645510212
"ENSG00000169252",0.190913651005345
"ENSG00000182557",0.883631042156844
"ENSG00000148908",0.247619070293093
"ENSG00000105122",0.951768391896964
"ENSG00000181631",0.717448087180747
"ENSG00000042980",0.394611371052006
"ENSG00000198223",0.518309365746976
"ENSG00000110876",0.554897758256053
"ENSG00000185811",0.338575300188916
"ENSG00000169896",0.167776900833604
"ENSG00000184574",0.360420419582256
"ENSG00000140968",0.549817963337094
"ENSG00000165025",0.650434423821535
"ENSG00000023892",0.802713299625726
"ENSG00000128815",0.994850095330037
"ENSG00000129667",0.0906582869012143
"ENSG00000134516",0.739511280259544
"ENSG00000137841",0.346469084275706
"ENSG00000165685",0.215066911571931
"ENSG00000183160",0.365615735954615
"ENSG00000077420",0.220333098707956
"ENSG00000095585",0.160476981313443
"ENSG00000104043",0.857027904825756
