"","P_Value"
"ENSG00000269190",0.515570022379759
"ENSG00000106538",0.359366765574034
"ENSG00000109944",0.783363518955538
"ENSG00000234465",0.223466912897428
"ENSG00000161798",0.747832034905871
"ENSG00000173040",0.811554104156162
"ENSG00000158156",0.0991549518663963
"ENSG00000141198",0.776075540434229
"ENSG00000172638",0.91004284393734
"ENSG00000114115",0.898623444628535
"ENSG00000169515",0.369848652006938
"ENSG00000164687",0.286988069803534
"ENSG00000125845",0.0952196952294683
"ENSG00000165118",0.0474480785348289
"ENSG00000104611",0.0570871867305315
"ENSG00000044090",0.349925231258675
"ENSG00000196503",0.46982598827379
"ENSG00000154240",0.00357416274290795
"ENSG00000255150",0.266210771226051
"ENSG00000109113",0.941472668113008
"ENSG00000100228",0.855307008680433
"ENSG00000142227",0.0809021705196386
"ENSG00000138771",0.368945192853517
"ENSG00000215845",0.27819501371712
"ENSG00000119431",0.681229832062765
"ENSG00000164309",0.461671270991719
"ENSG00000168140",0.303397297284169
"ENSG00000164327",0.704672158100281
"ENSG00000012211",0.198053837939227
"ENSG00000165406",0.762608547522444
"ENSG00000124140",0.0788390029117959
"ENSG00000149927",0.700603892356672
"ENSG00000125814",0.340225359553215
"ENSG00000144550",0.792073115508217
"ENSG00000172782",0.173269630270729
"ENSG00000163995",0.0336222792097401
"ENSG00000174514",0.113380625391691
"ENSG00000004660",0.817274800551301
"ENSG00000196972",0.133517549882673
"ENSG00000145990",0.74050313567113
"ENSG00000107954",0.36838633781537
"ENSG00000122733",0.225377000460757
"ENSG00000198626",0.603313902612384
"ENSG00000073670",0.682453248290971
"ENSG00000167281",0.101976385098806
"ENSG00000070808",0.275661097296201
"ENSG00000132639",0.192970715549911
"ENSG00000166448",0.0985422940863635
"ENSG00000168830",0.249836042696638
"ENSG00000160396",0.370717667708294
"ENSG00000130540",0.258133184802078
"ENSG00000186732",0.336407419811099
"ENSG00000158856",0.531709914702724
"ENSG00000168490",0.6285412424978
"ENSG00000184368",0.659817216267563
"ENSG00000020129",0.450809772723619
"ENSG00000153933",0.19403180933592
"ENSG00000124507",0.236207658703921
"ENSG00000106089",0.242097493659423
"ENSG00000186377",0.0840900354816324
"ENSG00000162711",0.494192070766447
"ENSG00000174004",0.831412270027909
"ENSG00000120594",0.196642605291276
"ENSG00000182578",0.375594641103192
"ENSG00000123095",0.818407172972386
"ENSG00000087253",0.31888454243371
"ENSG00000142583",0.217041399141732
"ENSG00000169252",0.627443505295272
"ENSG00000182557",0.263870111315311
"ENSG00000148908",0.434886167674612
"ENSG00000105122",0.249107638671622
"ENSG00000181631",0.641699962279864
"ENSG00000042980",0.223488625201294
"ENSG00000198223",0.165518697544843
"ENSG00000110876",0.256502516727226
"ENSG00000185811",0.613138070860729
"ENSG00000169896",0.158756022340094
"ENSG00000184574",0.162386724054874
"ENSG00000140968",0.282315202709073
"ENSG00000165025",0.113229285813004
"ENSG00000023892",0.208722759521523
"ENSG00000128815",0.154680257967767
"ENSG00000129667",0.290237549790252
"ENSG00000134516",0.185800931984056
"ENSG00000137841",0.54580707593033
"ENSG00000165685",0.580605277237978
"ENSG00000183160",0.0494639334977534
"ENSG00000077420",0.302315876975605
"ENSG00000095585",0.403840901696563
"ENSG00000104043",0.386127506867138
