"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GBM_AVG","OLIGO_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg08046512",0.694726155809921,0.393100092248236,98.6838831215163,2.46845293240575e-259,2.06214557973177e-255,584.236304078972,NA,0.757383434692979,NA,"17",72450493,"R","II","","IGR","island","IGR-island","chr17:72449982-72450617",NA,NA,"","","","UP"
"cg25726664",0.821550708865859,0.443178949401198,97.9828293072615,8.56175247636016e-259,3.57624400937564e-255,582.995740209174,0.0535291846248191,0.875079893490678,0.821550708865859,"7",42277807,"F","I","GLI3","TSS1500","island","TSS1500-island","chr7:42276003-42277850",NA,NA,"","","","UP"
"cg18222083",0.846233670743205,0.447262232145716,97.600499419133,3.257820697337e-258,9.0719447018511e-255,581.662094372128,0.0459056911646528,0.892139361907858,0.846233670743205,"17",41364007,"F","I","TMEM106A","5'UTR","island","5'UTR-island","chr17:41363727-41364273",TRUE,NA,"","","","UP"
"cg12899157",0.700627837009539,0.408606146352818,93.53946326515,6.47097990486653e-252,1.35146415313138e-248,567.186641636739,0.0763083722282933,0.776936209237833,0.700627837009539,"18",3452302,"F","I","TGIF1","5'UTR","island","5'UTR-island","chr18:3448006-3452360",NA,NA,"","","","UP"
"cg26705720",0.774659557253123,0.387814476072394,91.8585152238479,9.58977584350744e-249,1.60225974793322e-245,559.897334614283,NA,0.794011321279619,NA,"20",10652787,"F","I","JAG1","Body","island","Body-island","chr20:10652573-10655611",NA,NA,"high-CpG:10600608-10600792","","","UP"
"cg15603424",0.724157972434405,0.369373540033299,88.5534814757692,7.89937488431528e-244,1.09985629639283e-240,548.593039788953,0.0259157588215527,0.750073731255957,0.724157972434405,"11",13300592,"F","I","ARNTL","5'UTR","island","5'UTR-island","chr11:13298796-13300735",NA,NA,"","","","UP"
"cg12604950",0.681920619093276,0.397669966651467,88.3231797307708,1.91034894046188e-243,2.27986500694551e-240,547.711021209071,0.074244758738656,0.756165377831933,0.681920619093277,"1",180882287,"F","II","KIAA1614","TSS200","island","TSS200-island","chr1:180881316-180882592",TRUE,NA,"","","","UP"
"cg06940792",0.680150181806106,0.366347605902032,88.134441881452,3.9454650184479e-243,4.12005184551422e-240,546.986605779212,0.0437620911025647,0.723912272908671,0.680150181806106,"5",126626557,"R","II","MEGF10","5'UTR","island","5'UTR-island","chr5:126626053-126626901",TRUE,TRUE,"","","","UP"
"cg15555970",0.70176852854422,0.361048633567482,86.2328503290157,6.37466513525065e-240,5.91710583776488e-237,539.607278970595,0.0282098457436516,0.729978374287871,0.70176852854422,"18",3452317,"F","I","TGIF1","5'UTR","island","5'UTR-island","chr18:3448006-3452360",NA,NA,"","","","UP"
"cg18533883",0.726978729385705,0.368287240857692,86.1907389490042,7.52027929517106e-240,6.28244132318591e-237,539.442177804613,0.0234916149204718,0.750470344306177,0.726978729385705,"1",11919464,"F","I","NPPB","TSS1500","island","TSS1500-island","chr1:11919115-11919555",NA,NA,"","","","UP"
"cg03671191",0.610143906687323,0.30607606516712,85.8811468110697,2.5403760711326e-239,1.92930015438561e-236,538.226123145058,0.016693526566847,0.626837433254169,0.610143906687322,"19",52207353,"F","I","NCRNA00085","Body","island","Body-island","chr19:52207132-52207731",NA,NA,"","","rs10420233","UP"
