"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","OLIGO_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg13598010",0.535827892898494,0.418328980163908,31.6544881024289,9.92207725101993e-113,8.28890333550205e-109,246.577602457488,0.202437159238787,0.738265052137281,0.535827892898494,"7",72838776,"F","I","","IGR","island","IGR-island","chr7:72838383-72838815",NA,NA,"","","","UP"
"cg09772154",0.523873132053323,0.408681530776868,27.2650199498218,2.22733580577244e-94,9.30358166071147e-91,204.603506398035,NA,0.720449931315919,NA,"10",123358284,"F","II","FGFR2","TSS1500","island","TSS1500-island","chr10:123356616-123358285",NA,NA,"","rs1219639","","UP"
"cg07250222",0.528175680525635,0.399369228869401,26.1976228405413,5.48052703470178e-90,1.2122615628916e-86,194.55382209699,0.186560580890626,0.714736261416261,0.528175680525635,"10",123358317,"F","I","FGFR2","TSS1500","shore","TSS1500-shore","chr10:123356616-123358285",NA,NA,"","rs12770742","","UP"
"cg21195256",-0.594405427545304,0.53488808060958,-26.1918147862416,5.80446043998852e-90,1.2122615628916e-86,194.496732596486,0.774381529572008,0.179976102026705,-0.594405427545304,"14",29244278,"R","I","C14orf23","Body","shore","Body-shore","chr14:29243403-29243763",NA,TRUE,"","","","DOWN"
"cg18875371",-0.485019392399751,0.483921439716888,-25.7522470708487,4.52048962897663e-88,7.55283407209416e-85,190.166840275159,0.67934187451873,0.194322482118978,-0.485019392399752,"14",29244185,"R","II","C14orf23","Body","shore","Body-shore","chr14:29243403-29243763",NA,TRUE,"","","","DOWN"
"cg07847030",0.527791477831889,0.396486994393137,25.7332819020321,5.45711698668802e-88,7.59812588446529e-85,189.979623760856,0.183833146528832,0.711624624360721,0.527791477831889,"2",85361959,"R","II","TCF7L1","Body","island","Body-island","chr2:85359956-85362593",NA,NA,"","","","UP"
"cg23759393",0.486370085613591,0.406337098851504,25.3576288066824,2.28890316022411e-86,2.73164242864461e-83,186.264660622672,0.210372452706222,0.696742538319814,0.486370085613592,"7",158110405,"R","I","PTPRN2","Body","shore","Body-shore","chr7:158110569-158110881",NA,TRUE,"","","","UP"
"cg22762615",0.357560719850073,0.222984586994336,25.0215148002578,6.54583872490431e-85,6.83549208848132e-82,182.930259963234,0.0789188600644529,0.436479579914525,0.357560719850072,"10",123358210,"R","I","FGFR2","TSS1500","island","TSS1500-island","chr10:123356616-123358285",NA,NA,"","","","UP"
"cg20241952",0.496170600433076,0.303483644097395,24.7199134200994,1.3372167826884e-83,1.24123433361988e-80,179.930194352557,0.103570246835524,0.5997408472686,0.496170600433076,"17",77752713,"F","I","CBX2","Body","island","Body-island","chr17:77752051-77752772",NA,NA,"","","","UP"
"cg07095997",0.543303983323319,0.40212081010932,24.1431404336603,4.36908175197117e-81,3.64993089559672e-78,174.17298880033,0.183216777993613,0.726520761316932,0.543303983323319,"14",61188431,"R","I","SIX4","Body","island","Body-island","chr14:61188116-61190772",NA,NA,"","","","UP"
"cg10148473",0.489986473362346,0.436411801842839,23.7440944704269,7.65378525901297e-79,5.81270200489039e-76,169.036739134208,NA,NA,NA,"12",75601824,"F","II","KCNC2","5'UTR","shore","5'UTR-shore","chr12:75602991-75603344",NA,TRUE,"","rs73187152","","UP"
"cg11051055",0.389241627483545,0.22719631969237,23.1574356819511,9.12834469207541e-77,6.3548492964665e-74,164.279484331617,0.0703659552208446,0.459607582704389,0.389241627483545,"8",11058145,"R","I","XKR6","1stExon","island","1stExon-island","chr8:11057684-11058479",TRUE,NA,"","","","UP"
"cg13038241",0.486962099163423,0.346167774048913,22.8775974257514,1.55418458400904e-75,9.98742924216269e-73,161.459800738268,0.149964598172388,0.636926697335811,0.486962099163423,"7",5632281,"R","I","FSCN1","TSS200","shore","TSS200-shore","chr7:5632335-5634555",NA,NA,"","","","UP"
"cg15740366",0.317599095815165,0.174529911885132,22.6591373122574,2.37316680712413e-74,1.41610253619392e-71,158.748582851584,0.0484243885467577,NA,NA,"7",128049868,"R","I","IMPDH1","1stExon","island","1stExon-island","chr7:128049499-128050488",NA,NA,"","","","UP"
"cg24976104",0.356638885557781,0.232727404140822,22.5989197181632,2.62598577669127e-74,1.46249901189859e-71,158.647630041379,0.0890330958821045,0.445671981439885,0.356638885557781,"22",45097940,"R","I","PRR5","5'UTR","island","5'UTR-island","chr22:45097755-45098801",NA,NA,"","","","UP"
"cg07850527",0.383770750494712,0.238050494175494,22.4221381977248,1.581258241458e-73,8.25614459321257e-71,156.86171052346,0.0834244150926736,0.467195165587385,0.383770750494712,"16",89268040,"F","I","","IGR","island","IGR-island","chr16:89267823-89268087",NA,NA,"","","","UP"
"cg06396724",0.531900147968027,0.484376831592727,22.162841037544,2.20673495373409e-72,1.08441551785262e-69,154.23961921763,0.27006754867357,0.801967696641598,0.531900147968027,"14",61188239,"R","II","SIX4","Body","island","Body-island","chr14:61188116-61190772",NA,NA,"","","","UP"
"cg17203063",0.474286311741687,0.416004972917684,22.0151744404367,9.91301787922861e-72,4.6007417423931e-69,152.745113610603,0.224909031779043,0.69919534352073,0.474286311741687,"12",75601711,"R","I","KCNC2","Body","island","Body-island","chr12:75601081-75601752",NA,NA,"","","","UP"
"cg09374949",0.34361544070924,0.252475612464454,21.9817918803405,1.56656589038873e-71,6.88794286753023e-69,152.290354214908,NA,0.457307201208405,NA,"19",18548964,"R","I","ISYNA1","5'UTR","island","5'UTR-island","chr19:18543828-18549161",NA,NA,"high-CpG:18409919-18409989","","","UP"
"cg02301929",0.422134173758325,0.241718603677914,21.9045842634907,3.86128396901544e-71,1.61285831385775e-68,151.392951642928,0.0728649341745843,NA,NA,"22",51066512,"R","I","ARSA","1stExon","island","1stExon-island","chr22:51066107-51067051",NA,NA,"high-CpG:49413326-49413474","","rs1051539","UP"
"cg11032268",0.506996482240042,0.336041074738537,21.8282362907308,6.64795998177143e-71,2.64462179465326e-68,150.851957126443,0.131765793059297,0.638762275299339,0.506996482240042,"7",5632272,"R","I","FSCN1","TSS200","shore","TSS200-shore","chr7:5632335-5634555",NA,NA,"","","","UP"
"cg07836661",0.371001477894038,0.242230761309829,21.6943918449684,3.26598818268638e-70,1.240184785371e-67,149.269188686507,NA,NA,NA,"18",12407797,"F","I","SLMO1","TSS200","island","TSS200-island","chr18:12407715-12408242",NA,NA,"","","","UP"
"cg00445824",0.388148113759728,0.334427290732693,21.6583773136808,3.7506878722147e-70,1.36231506454268e-67,149.130709615567,0.178037516742123,0.566185630501851,0.388148113759728,"19",18548929,"R","I","ISYNA1","5'UTR","island","5'UTR-island","chr19:18543828-18549161",NA,NA,"high-CpG:18409919-18409989","","","UP"
"cg12450347",0.338301043821766,0.165125150188151,21.5163629687524,1.99478311335703e-69,6.94350755374359e-67,147.468846777595,0.029804732659445,NA,NA,"1",231175978,"F","I","FAM89A","5'UTR","island","5'UTR-island","chr1:231175062-231176317",NA,NA,"high-CpG:229242567-229242634","","","UP"
"cg24890054",0.36158870172461,0.295888848225952,21.4826219199107,2.24917204158381e-69,7.51583329415645e-67,147.348761709848,0.150200196560211,0.511788898284821,0.36158870172461,"2",18059752,"R","I","KCNS3","TSS200","island","TSS200-island","chr2:18059493-18060920",NA,NA,"","","","UP"
"cg08584377",0.509768006281642,0.369240393369081,21.2221673613653,3.20241386019365e-68,1.02896020723299e-65,144.706526342489,0.16384842967308,0.673616435954722,0.509768006281642,"7",5632269,"R","I","FSCN1","TSS200","shore","TSS200-shore","chr7:5632335-5634555",NA,NA,"","","","UP"
"cg04152196",-0.46617984526024,0.456777681006138,-20.9520224502207,8.53040742282883e-67,2.63937124482637e-64,141.443632811643,NA,NA,NA,"6",136172687,"F","II","PDE7B","TSS200","opensea","TSS200-opensea","",TRUE,NA,"","","","DOWN"
"cg06699519",0.419865453509677,0.370647848855094,20.7853571221081,2.76245866566733e-66,8.24199274749459e-64,140.272035861374,0.201478758363332,0.621344211873008,0.419865453509677,"11",2398327,"F","I","CD81","TSS1500","island","TSS1500-island","chr11:2398223-2399598",NA,NA,"","","","UP"
"cg22943762",0.32987535799507,0.233611012857573,20.7702815571815,3.22202514475868e-66,9.28165450321172e-64,140.118935820113,0.100700067645967,0.430575425641037,0.32987535799507,"14",61188245,"R","I","SIX4","Body","island","Body-island","chr14:61188116-61190772",NA,NA,"","","","UP"
"cg25408497",0.360909810837446,0.195172709639541,20.6132180027297,1.56735874335811e-64,4.36457164733789e-62,136.26422939181,0.0619137025610991,NA,NA,"22",51066517,"R","I","ARSA","1stExon","island","1stExon-island","chr22:51066107-51067051",NA,NA,"high-CpG:49413326-49413474","","rs1051539","UP"
"cg11299333",0.345254045688312,0.180570126390105,20.1582940437627,1.66643268752668e-63,4.49076731341867e-61,133.902483619246,0.0414629138069502,0.386716959495263,0.345254045688313,"21",38379036,"R","I","DSCR6","5'UTR","island","5'UTR-island","chr21:38377937-38379437",TRUE,NA,"","","","UP"
"cg12175729",0.294120972232274,0.172158673479862,20.0201403228189,6.82977958636301e-63,1.78299933326489e-60,132.499086788318,0.0536536215610334,0.347774593793307,0.294120972232274,"8",140715540,"R","I","KCNK9","TSS1500","island","TSS1500-island","chr8:140714585-140718259",NA,NA,"","","","NO"
"cg01232604",0.438453143536728,0.306196668825354,19.9068698067951,2.1709357947523e-62,5.49575685738204e-60,131.348546539044,0.129538363419779,0.567991506956508,0.438453143536728,"7",5632262,"R","I","FSCN1","TSS200","shore","TSS200-shore","chr7:5632335-5634555",NA,NA,"","","","UP"
"cg14060111",0.401132513468034,0.273439209114007,19.5610313634244,7.40797137973698e-61,1.82018214430361e-58,127.836610669757,0.111817856600188,0.512950370068221,0.401132513468034,"20",13200944,"F","I","ISM1","TSS1500","island","TSS1500-island","chr20:13200670-13202616",TRUE,NA,"high-CpG:13148870-13149049","","","UP"
"cg12664209",0.388949132613538,0.251809964015437,19.4084077157983,3.51544749976007e-60,8.3908709751416e-58,126.287383352553,0.0950974494187204,0.484046582032259,0.388949132613539,"20",13200954,"F","I","ISM1","TSS1500","island","TSS1500-island","chr20:13200670-13202616",TRUE,NA,"high-CpG:13148870-13149049","","","UP"
"cg20138711",0.338678839732739,0.202363452463404,19.3851485735518,4.8544538823159e-60,1.12650299257964e-57,125.967066913703,0.0663974949064653,NA,NA,"3",56835829,"F","I","ARHGEF3","1stExon","island","1stExon-island","chr3:56835650-56836210",NA,TRUE,"","rs72882975","rs28372747","UP"
"cg25796439",0.353632143152811,0.246009035136902,19.3486530906499,6.46688903725387e-60,1.46011867614105e-57,125.680975621696,0.103526181342323,0.457158324495134,0.353632143152811,"20",13200939,"F","I","ISM1","TSS1500","island","TSS1500-island","chr20:13200670-13202616",TRUE,NA,"high-CpG:13148870-13149049","","","UP"
"cg01560399",0.342814782189193,0.235863513527349,19.3206546376008,8.60431973970323e-60,1.8915917659337e-57,125.396868830467,0.0977391109948107,0.440553893184003,0.342814782189193,"20",10655464,"R","I","JAG1","TSS1500","island","TSS1500-island","chr20:10652573-10655611",NA,NA,"","","","UP"
"cg07106881",0.354136357300897,0.308259380390069,19.2033136918859,3.09448396765993e-59,6.62854335021309e-57,124.124230960473,NA,0.519362561749484,NA,"4",1004554,"R","I","FGFRL1","TSS1500","island","TSS1500-island","chr4:1003106-1005455",NA,TRUE,"","","","UP"
"cg02683085",0.317075704835258,0.215695891662995,19.1230046075883,6.45597506015023e-59,1.34833039131238e-56,123.391870854487,0.0879420882584972,0.405017793093756,0.317075704835259,"20",10655461,"R","I","JAG1","TSS1500","island","TSS1500-island","chr20:10652573-10655611",NA,NA,"","","","UP"
"cg14159026",0.323862635583171,0.162603365569546,19.047278060354,2.10576969606305e-58,4.29063415631969e-56,122.219748516599,0.0344906276607243,NA,NA,"6",105584551,"R","I","BVES","TSS1500","island","TSS1500-island","chr6:105584148-105585621",NA,NA,"","","","UP"
"cg26433141",0.367803208753382,0.249357115343381,18.9877025811762,2.77932576833615e-58,5.52821130206671e-56,121.94033737267,NA,0.468607203286394,NA,"10",30723604,"R","I","MAP3K8","5'UTR","island","5'UTR-island","chr10:30722378-30723707",NA,NA,"high-CpG:30763552-30763627","rs306588","","UP"
"cg09656848",0.258389650547822,0.145393529448257,18.7631171660754,2.52477535295324e-57,4.9051100694352e-55,119.74439294609,0.0412850780139397,0.299674728561762,0.258389650547822,"11",61276678,"F","I","LRRC10B","1stExon","island","1stExon-island","chr11:61275825-61277329",NA,TRUE,"","","","NO"
"cg19846827",0.328368730619318,0.22820099072312,18.4270098525536,7.71210227245046e-56,1.46424778145571e-53,116.342814098197,0.0958970846968893,0.424265815316208,0.328368730619318,"10",30723612,"R","I","MAP3K8","5'UTR","island","5'UTR-island","chr10:30722378-30723707",NA,NA,"high-CpG:30763552-30763627","","","UP"
"cg19658829",0.401316193553169,0.359346626936693,18.3516014180403,1.6595926938052e-55,3.08094163645525e-53,115.580415015821,0.19765126739828,0.59896746095145,0.401316193553169,"12",125399894,"F","I","UBC","TSS1500","island","TSS1500-island","chr12:125398558-125399899",NA,NA,"","","","UP"
"cg08273666",0.31772965357574,0.279120682959153,18.3425118020247,1.8201669204937e-55,3.30558140300096e-53,115.488537473295,0.151103395353393,0.468833048929134,0.31772965357574,"3",32433403,"R","I","CMTM7","1stExon","island","1stExon-island","chr3:32433104-32434162",TRUE,NA,"high-CpG:32408155-32408409","","","UP"
"cg14509403",0.371882025816174,0.311054512968834,18.2985034739923,2.84628637812506e-55,5.0591226389057e-53,115.043767834972,0.161218551110861,0.533100576927035,0.371882025816174,"22",30476281,"F","I","HORMAD2","TSS200","island","TSS200-island","chr22:30476012-30476530",NA,NA,"","","","UP"
