"","P_Value"
"cg24041541",0.125741266314226
"cg19070139",0.138527774536473
"cg13727691",0.107841621457956
"cg20826224",0.0480792224773475
"cg12630147",0.43051170576994
"cg05163329",0.218977274684635
"cg25604326",0.0136947760850473
"cg16590910",0.898961030650536
"cg01764954",0.19208988434867
"cg03974423",0.0665361981415227
"cg00428601",0.451409153245364
"cg21174055",0.661780647061817
"cg12604950",0.248865399982627
"cg18276016",0.0106560013396606
"cg03609308",0.00654899680859184
"cg19113375",0.097692240554116
"cg01818121",0.18090150280107
"cg22230604",0.377738498916319
"cg20525712",0.000533912073658964
"cg16483867",0.384820920767378
"cg01338255",0.549508601504082
"cg01843034",0.00081704465250432
"cg19998675",0.208592077979941
"cg22451910",0.938929123918512
"cg01118078",0.677626190645439
"cg12907983",0.00158630476656568
"cg21940568",0.367650785044698
"cg26448489",0.0415060090284865
"cg08409074",0.588890931751211
"cg25251738",0.119179446169868
"cg14852134",0.888844665815214
"cg19809499",0.470695730178179
"cg00884093",0.9588550528548
"cg19544662",0.44597236971865
"cg17203063",0.944322056151094
"cg02884176",0.850699379592202
"cg06341513",0.733658998231041
"cg25958283",0.836055414681206
"cg24033330",0.783293483696496
"cg07850527",0.63315369023695
"cg02145932",0.838574128567339
"cg12664209",0.689288885611216
"cg10192893",0.774988888904704
"cg09491991",0.409438824448116
"cg26322248",0.410486817765661
"cg24826867",0.931721183265844
"cg18815943",0.656665242839441
"cg25796439",0.672875110587543
"cg14060111",0.708305523773445
"cg01532168",0.564780807929388
"cg18301891",0.413254829019664
"cg06262436",0.526041914543309
"cg21561970",0.917097224249933
"cg08304190",0.850672985551489
"cg24416513",0.415547678405142
"cg24718971",0.831465219353437
"cg11410023",0.898655430295932
"cg27579953",0.0369856914495541
"cg12450347",0.628801111078898
"cg09656848",0.87238725495937
