"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","GBM_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg18222083",-0.818900197144317,0.514392780693727,-100.77050861748,4.14984162206609e-304,3.46677769107402e-300,687.093605139662,0.86480588830897,0.0459056911646528,-0.818900197144317,"17",41364007,"F","I","TMEM106A","5'UTR","island","5'UTR-island","chr17:41363727-41364273",TRUE,NA,"","","","DOWN"
"cg03671191",-0.626970459135099,0.375378952025532,-97.7110426219866,1.61303366205644e-298,6.73764160640974e-295,674.249342619868,0.643663985701946,0.016693526566847,-0.626970459135099,"19",52207353,"F","I","NCRNA00085","Body","island","Body-island","chr19:52207132-52207731",NA,NA,"","","rs10420233","DOWN"
"cg04328762",-0.628903586890092,0.398359540679665,-95.5245286922515,2.00071137122757e-294,5.57131426507836e-291,664.840939794418,0.667471773209379,0.0385681863192865,-0.628903586890093,"22",19706186,"R","I","SEPT5","Body","island","Body-island","chr22:19705510-19706557",NA,TRUE,"","","","DOWN"
"cg12604950",-0.668904031655477,0.456920088476441,-93.6405042754019,7.89444985427299e-291,1.64875585206491e-287,656.574462270569,0.743148790394133,0.074244758738656,-0.668904031655477,"1",180882287,"F","II","KIAA1614","TSS200","island","TSS200-island","chr1:180881316-180882592",TRUE,NA,"","","","DOWN"
"cg15603424",-0.694900171191738,0.423463298619617,-91.4603438544574,1.38480408311021e-286,2.31373066206053e-283,646.817106132234,0.720815930013291,0.0259157588215527,-0.694900171191739,"11",13300592,"F","I","ARNTL","5'UTR","island","5'UTR-island","chr11:13298796-13300735",NA,NA,"","","","DOWN"
"cg09938462",-0.645382365893196,0.437597978077011,-89.3983391682366,1.73855196059158e-282,2.42064384646368e-279,637.392275519342,0.713761595110379,0.0683792292171817,-0.645382365893197,"22",19706365,"R","II","SEPT5","Body","island","Body-island","chr22:19705510-19706557",NA,NA,"","","","DOWN"
"cg09974990",-0.687242146974122,0.427414267527329,-86.2977914138152,3.67884337575796e-276,4.39043679444029e-273,622.844637855133,0.721489976930209,0.034247829956087,-0.687242146974122,"16",67204447,"F","I","","IGR","island","IGR-island","chr16:67204208-67204637",NA,TRUE,"","","","DOWN"
"cg00976453",-0.7263588622298,0.450999410289259,-85.6736116242469,7.30421045664619e-275,7.62742176935279e-272,619.8593940338,0.76181343505736,0.0354545728275594,-0.726358862229801,"20",48099479,"F","I","KCNB1","TSS1500","island","TSS1500-island","chr20:48098512-48099560",NA,NA,"","","","DOWN"
"cg05866411",-0.679371875308103,0.454698121173752,-84.3536335937925,4.32601022144451e-272,4.01549882110527e-269,613.481850164081,0.745406086421871,0.0660342111137677,-0.679371875308103,"4",1006278,"F","I","FGFRL1","Body","island","Body-island","chr4:1005930-1006282",NA,NA,"","","","DOWN"
"cg10504751",-0.758317080575252,0.477938128934058,-84.0497481284173,4.94112380929468e-271,4.12781483028477e-268,611.049650133061,NA,0.044866602731408,NA,"16",56390830,"R","I","GNAO1","3'UTR","opensea","3'UTR-opensea","",NA,TRUE,"","","","DOWN"
